日付,時刻,区,出没場所,緯度,経度,状況,ソース
2025/9/11,9:10,西区,西区小別沢118番地付近(宝来橋から南東に約60mの山林内),43.04822222,141.2661389,ヒグマを目撃,公式
2025/9/12,9:00,清田区,清田区有明18番地付近,42.962917,141.456806,足跡、掘り跡、食痕を確認,公式
2025/9/13,7:00,清田区,清田区有明18番地付近,42.962917,141.456806,足跡、掘り跡、食痕、被毛を確認,公式
2025/9/13,22:50,中央区,中央区盤渓531番地付近(道道82号線上の盤渓会館より西に約200mの地点),43.02879,141.286592,ヒグマを目撃,公式
2025/9/14,8:00,清田区,清田区有明18番地付近,42.96316666,141.4566389,足跡、掘り跡、食痕を確認,公式
2025/9/14,10:00,南区,南区白川1814番地付近(北方自然教育園から東に約500mの地点),42.970712,141.295021,フンを確認,公式
2025/9/14,17:50,南区,南区小金湯無番地(百松沢林道入口から北西に約130mの付近),42.969754,141.2017,ヒグマを目撃,公式
2025/9/16,23:07,手稲区,手稲区手稲本町592番地付近(手稲山麓線上｢手稲IC｣入口より手稲山方向へ約1kmの地点),43.103567,141.232097,ヒグマを目撃,公式
2025/9/17,22:29,中央区,中央区界川4丁目1番付近(旭山記念公園第二駐車場から東に約100mの地点),43.037438,141.31503,ヒグマらしき動物を目撃,公式
2025/9/18,8:15,豊平区,豊平区羊ケ丘1番地2付近(北海道農業研究センタｰ構内),43.00161,141.41775,ヒグマを目撃,公式
2025/9/18,17:21,中央区,中央区円山西町2丁目10番付近,43.042759,141.300487,ヒグマを目撃(親子),公式
2025/9/19,9:00,南区,南区小金湯589番地付近(小金湯さくらの森入口から南に約1.2kmの山林内),42.954164,141.215206,足跡を確認,公式
2025/9/19,17:55,南区,南区砥山42番地付近(砥山橋から西に約200mの道路上),42.964623,141.254485,ヒグマを目撃,公式
2025/9/19,19:35,南区,南区白川1814番地付近(白川浄水場付近の道路上),42.97015,141.284678,ヒグマを目撃（親子）,公式
2025/9/20,8:30,南区,南区白川1814番地付近(北方自然教育園から東に約500mの地点),42.971167,141.295333,フンを確認,公式
2025/9/20,9:24,南区,南区白川1814番地付近(北方自然教育園から南東に約200mの地点),42.969726,141.292637,被毛、爪痕、枝折り、フンを確認,公式
2025/9/20,10:48,南区,南区砥山85番地付近(八剣山トンネルの東側入口付近),42.961949,141.247003,ヒグマを目撃（親子）,公式
2025/9/20,7:00,南区,南区定山渓無番地付近(紅葉橋から南東に約100mの地点),42.980659,141.160405,ヒグマを目撃,公式
2025/9/20,15:30,西区,西区小別沢66番地付近(小別沢会館から北西に約200mの山林内),43.048472,141.275333,フン、爪痕を確認,公式
2025/9/20,22:55,西区,西区西野9条9丁目7番付近(西野川さらりんひろば付近の道路上),43.067611,141.259111,ヒグマを目撃（親子）,公式
2025/9/21,8:10,西区,西区西野1006番地付近(西野西公園から西に約200mの山林付近),43.06592,141.251114,ヒグマを目撃（親子）,公式
2025/9/22,不明,南区,南区白川1814番地付近(北方自然教育園から東に約530mの地点),42.971272,141.295563,フンを確認,公式
2025/9/22,16:08,南区,南区白川1814番地付近(北方自然教育園から南東に約200mの地点),42.969726,141.292637,ヒグマを目撃(親子),公式
2025/9/22,6:40,南区,南区簾舞392番地18付近(みすまい霊園から北に約1.2kmの地点),42.951741,141.25871,ヒグマを目撃(2頭),公式
2025/9/22,17:48,中央区,中央区盤渓418番地1付近(ばんけいの森テニスコｰトから北ノ沢方面に約200mの道路上),43.029653,141.284111,ヒグマを目撃(親子),公式
2025/9/22,21:30,南区,南区砥山85番地1付近(八剣山トンネルの東側入口から約70mの道路上),42.962423,141.247568,ヒグマを目撃(親子),公式
2025/9/23,6:00,南区,南区豊滝39番地付近,42.948522,141.238533,堀り跡を確認,公式
2025/9/23,13:00,豊平区,豊平区羊ケ丘1番地2付近(北海道農業研究センタｰ構内｢宿舎前｣バス停から北西に約100mの地点),43.006516,141.415818,ヒグマを目撃,公式
2025/9/24,不明,南区,南区砥山無番地付近(八剣山山頂付近),42.96547,141.241921,フンを確認,公式
2025/9/24,1:00,南区,南区小金湯649番地付近(国道230号線上の小金湯さくらの森入口から定山渓方面に約800mの地点),42.96942,141.209709,ヒグマを目撃,公式
2025/9/24,11:00,南区,南区小金湯634番地付近(砥山ダムから南東に約100mの地点),42.97015,141.217874,足跡を確認,公式
2025/9/24,21:15,手稲区,手稲区稲穂5条3丁目2番付近(札樽道高架下の道路上),43.119119,141.222435,"ヒグマを目撃
",公式
2025/9/25,9:06,南区,南区定山渓無番地(道道1号線上札幌国際スキｰ場から定山渓方面に約7.6kmの地点),43.02925,141.13024,ヒグマを目撃,公式
2025/9/25,20:32,手稲区,手稲区稲穂5条3丁目2番付近(札樽道高架下の道路上),43.11892,141.222201,ヒグマを目撃,公式
2025/9/26,1:26,南区,南区藤野650番付近,42.950071,141.304824,カメラでヒグマを確認,公式
2025/9/26,1:30,南区,南区定山渓2番地2付近(国道230号線上百松橋より定山渓方面に約50mの地点),42.96803,141.2004,ヒグマを目撃（親子）,公式
2025/9/26,6:10,西区,西区西野1006番地7付近(西野11条9丁目24番付近の山林内),43.06572,141.2487,ヒグマを目撃,公式
2025/9/26,11:15,西区,西区小別沢50番地2付近(小別沢線の小別沢会館より福井方面へ約130mの地点),43.04611,141.2751,ヒグマを目撃,公式
2025/9/26,12:30,清田区,清田区自然歩道｢西岡~真栄･有明ルｰト｣(白旗山)札幌台から北に約200mの地点,42.959694,141.419472,ヒグマを目撃,公式
2025/9/26,15:06,南区,南区真駒内無番地(国道453号線滝野橋付近),42.89194,141.3431,ヒグマを目撃,公式
2025/9/26,19:30,南区,南区小金湯30番地付近(小金湯さくらの森入口から北西に約150mの地点),42.96666,141.219425,ヒグマを目撃,公式
2025/9/26,20:00,西区,西区平和280番地(平和丘陵公園内),43.055605,141.245594,ヒグマによる負傷事故発生,公式
2025/9/26,20:05,手稲区,手稲区稲穂5条3丁目2番付近(札樽道高架下の道路上),43.119261,141.222374,ヒグマを目撃,公式
2025/9/26,20:51,西区,西区平和345番地付近(平和丘陵公園から西に800mの地点),43.053608,141.235616,ヒグマを目撃,公式
2025/9/26,21:50,南区,南区藤野5条5丁目19番付近,42.953573,141.297565,ヒグマを目撃（親子）,公式
2025/9/26,21:50,南区,南区藤野5条6丁目6番付近,42.954094,141.293793,ヒグマを目撃（親子）,公式
2025/9/27,19:07,南区,南区豊滝493番地4付近(国道230号線上豊滝会館から札幌中心部方面に約230mの地点),42.957164,141.233178,ヒグマを目撃,公式
2025/9/27,21:40,南区,南区藤野6条6丁目14番付近,42.95220183,141.2918875,ヒグマらしき動物を目撃,公式
2025/9/27,19:20,手稲区,手稲区稲穂5条3丁目2番付近(札樽道高架下の道路上),43.119031,141.222322,ヒグマを目撃,公式
2025/9/28,11:00,南区,南区藤野2条1丁目9番付近(藤野むくどり公園北側で豊平川脇の緑地内),42.96366,141.31286,ヒグマを目撃(2頭),公式
2025/9/28,13:00,南区,南区藤野494番地付近,"42.950660,",141.285965,足跡、食痕を確認,公式
2025/9/29,0:04,手稲区,手稲区稲穂5条3丁目2番付近(札樽道高架下の道路上),43.118849,141.222036,ヒグマを目撃(親子),公式
2025/9/29,18:53,南区,南区藤野1条5丁目13番付近(十五島公園西側駐車場付近),42.967722,141.298222,ヒグマを目撃(親子),公式
2025/9/30,3:49,南区,南区藤野2条1丁目9番付近(藤野むくどり公園北側で豊平川脇の緑地内),42.963688,141.312839,カメラでヒグマを確認,公式
2025/9/30,15:40,南区,南区藤野552番地付近(風っ子公園から南東に約120mの林内),42.953701,141.293823,ヒグマらしき動物を目撃,公式
2025/9/30,20:20,中央区,中央区南28条西13丁目1番付近,43.021594,141.343106,ヒグマらしき動物を目撃,公式
2025/10/1,2:40,南区,南区南37条西10丁目1番付近(藻岩橋から西に約250mの国道230号線上),43.008351,141.344536,ヒグマを目撃（親子）,公式
